Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode,customer_key,geography_key,product_key,category_key,department_key,date_key,shipping_key,order_item_key,day_of_week,month_number,quarter_number,year,is_weekend,data_quality_score,cleansing_timestamp,record_source
TRANSFER,6,2,130.5800018,272.0299988,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,,Germane,19483,Short,,Corporate,PR,4058 Quiet Heights,725,2,Fitness,18.28284454,-66.03705597,Pacific Asia,Tokio,Japón,19483,2018-01-13 09:18:00,75930,1360,55.72000122,0.170000002,179245,327.75,0.479999989,1,327.75,272.0299988,130.5800018,Eastern Asia,Tokio,SUSPECTED_FRAUD,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-19 09:18:00,Second Class,2823,2854,78,40,1,20180113,7,3970,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,5,2,45.68999863,268.7600098,Late delivery,1,73,Sporting Goods,Freeport,EE. UU.,,Freya,19482,Robbins,,Consumer,NY,3243 Shady Corner,11520,2,Fitness,40.65486527,-73.58707428,Pacific Asia,Manado,Indonesia,19482,2018-01-13 08:57:00,75929,1360,59.0,0.180000007,179244,327.75,0.170000002,1,327.75,268.7600098,45.68999863,Southeast Asia,Célebes Septentrional,PENDING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-18 08:57:00,Second Class,2822,1610,78,40,1,20180113,6,3969,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,4,2,21.76000023,262.2000122,Late delivery,1,73,Sporting Goods,Salinas,EE. UU.,,Cassandra,19481,Jensen,,Corporate,CA,131 Sunny Treasure Green,93905,2,Fitness,36.6763382,-121.656517,Pacific Asia,Manado,Indonesia,19481,2018-01-13 08:36:00,75928,1360,65.55000305,0.200000003,179243,327.75,0.079999998,1,327.75,262.2000122,21.76000023,Southeast Asia,Célebes Septentrional,PENDING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-17 08:36:00,Second Class,2821,1609,78,40,1,20180113,6,3968,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,2,1,24.57999992,245.8099976,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Natalie,19480,Mcfadden,,Corporate,PR,2531 Wishing Square,725,2,Fitness,18.27843857,-66.03705597,Pacific Asia,Sangli,India,19480,2018-01-13 08:15:00,75927,1360,81.94000244,0.25,179242,327.75,0.100000001,1,327.75,245.8099976,24.57999992,South Asia,Maharashtra,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 08:15:00,First Class,2820,2451,78,40,1,20180113,1,3967,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,2,1,16.38999939,327.75,Late delivery,1,73,Sporting Goods,Peabody,EE. UU.,,Kimberley,19479,Sharpe,,Corporate,MA,6417 Silver Towers,1960,2,Fitness,42.52627564,-70.92703247,Pacific Asia,Sangli,India,19479,2018-01-13 07:54:00,75926,1360,0.0,0.0,179241,327.75,0.050000001,1,327.75,327.75,16.38999939,South Asia,Maharashtra,PROCESSING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 07:54:00,First Class,2819,2453,78,40,1,20180113,1,3966,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,2,1,-259.5799866,324.4700012,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Sade,19478,Lancaster,,Corporate,PR,257 Harvest Close,725,2,Fitness,18.28404999,-66.03705597,Pacific Asia,Sangli,India,19478,2018-01-13 07:33:00,75925,1360,3.279999971,0.01,179240,327.75,-0.800000012,1,327.75,324.4700012,-259.5799866,South Asia,Maharashtra,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 07:33:00,First Class,2818,2452,78,40,1,20180113,1,3965,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
PAYMENT,5,2,-246.3600006,321.2000122,Late delivery,1,73,Sporting Goods,Canovanas,Puerto Rico,,Brynne,19477,Giles,,Corporate,PR,7342 Hazy Beacon Park,729,2,Fitness,18.3957901,-65.87288666,Pacific Asia,Seúl,Corea del Sur,19477,2018-01-13 07:12:00,75924,1360,6.559999943,0.02,179239,327.75,-0.769999981,1,327.75,321.2000122,-246.3600006,Eastern Asia,Seúl,PENDING_PAYMENT,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-18 07:12:00,Second Class,2817,2556,78,40,1,20180113,6,3964,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
CASH,2,1,23.84000015,317.9200134,Late delivery,1,73,Sporting Goods,Paramount,EE. UU.,,Ciara,19476,Bird,,Corporate,CA,7787 Lazy Corners,90723,2,Fitness,33.89869309,-118.1745605,Pacific Asia,Jabalpur,India,19476,2018-01-13 06:51:00,75923,1360,9.829999924,0.029999999,179238,327.75,0.079999998,1,327.75,317.9200134,23.84000015,South Asia,Madhya Pradesh,CLOSED,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 06:51:00,First Class,2816,1215,78,40,1,20180113,1,3963,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,2,1,102.2600021,314.6400146,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Bo,19475,Griffin,,Consumer,PR,5136 Rustic Pioneer Estates,725,2,Fitness,18.233778,-66.0370636,Pacific Asia,Jabalpur,India,19475,2018-01-13 06:30:00,75922,1360,13.10999966,0.039999999,179237,327.75,0.330000013,1,327.75,314.6400146,102.2600021,South Asia,Madhya Pradesh,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 06:30:00,First Class,2815,1212,78,40,1,20180113,1,3962,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
PAYMENT,0,0,87.18000031,311.3599854,Shipping on time,0,73,Sporting Goods,Mount Prospect,EE. UU.,,Kim,19474,Simon,,Consumer,IL,1723 Tawny Via,60056,2,Fitness,42.04830551,-87.96134186,Pacific Asia,Jabalpur,India,19474,2018-01-13 06:09:00,75921,1360,16.38999939,0.050000001,179236,327.75,0.280000001,1,327.75,311.3599854,87.18000031,South Asia,Madhya Pradesh,PENDING_PAYMENT,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-13 18:09:00,Same Day,2814,1216,78,40,1,20180113,5,3961,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,0,0,154.8600006,309.7200012,Shipping on time,0,73,Sporting Goods,Long Beach,EE. UU.,,Kellie,19473,Farmer,,Corporate,CA,7111 Silent Fox Gardens,90813,2,Fitness,33.78245163,-118.1922455,Pacific Asia,Jabalpur,India,19473,2018-01-13 05:48:00,75920,1360,18.03000069,0.059999999,179235,327.75,0.5,1,327.75,309.7200012,154.8600006,South Asia,Madhya Pradesh,PROCESSING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-13 17:48:00,Same Day,2813,1214,78,40,1,20180113,5,3960,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,5,4,82.30000305,304.8099976,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Alma,19472,Conley,,Corporate,PR,3732 Old Mountain Bank,725,2,Fitness,18.28337669,-66.03705597,Pacific Asia,Jabalpur,India,19472,2018-01-13 05:27:00,75919,1360,22.94000053,0.07,179234,327.75,0.270000011,1,327.75,304.8099976,82.30000305,South Asia,Madhya Pradesh,PENDING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-18 05:27:00,Standard Class,2812,1213,78,40,1,20180113,10,3959,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,4,2,22.37000084,298.25,Late delivery,1,73,Sporting Goods,Rancho Cordova,EE. UU.,,Yeo,19471,Bird,,Corporate,CA,6217 Rustic Lake Forest,95670,2,Fitness,38.61177445,-121.2828674,Pacific Asia,Geelong,Australia,19471,2018-01-13 05:06:00,75918,1360,29.5,0.090000004,179233,327.75,0.079999998,1,327.75,298.25,22.37000084,Oceania,Victoria,PENDING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-17 05:06:00,Second Class,2811,933,78,40,1,20180113,6,3958,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,3,2,17.70000076,294.980011,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,,Lucy,19470,Mcknight,,Corporate,PR,1082 Quiet Treasure Link,725,2,Fitness,18.20733643,-66.03705597,Pacific Asia,Geelong,Australia,19470,2018-01-13 04:45:00,75917,1360,32.77999878,0.100000001,179232,327.75,0.059999999,1,327.75,294.980011,17.70000076,Oceania,Victoria,CANCELED,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-16 04:45:00,Second Class,2810,928,78,40,1,20180113,7,3957,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,2,2,90.27999878,288.4200134,Shipping canceled,0,73,Sporting Goods,Billings,EE. UU.,,Simone,19469,Vance,,Corporate,MT,3176 Round Gate,59102,2,Fitness,45.78831101,-108.5594101,Pacific Asia,Brisbane,Australia,19469,2018-01-13 04:24:00,75916,1360,39.33000183,0.119999997,179231,327.75,0.310000002,1,327.75,288.4200134,90.27999878,Oceania,Queensland,SUSPECTED_FRAUD,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 04:24:00,Second Class,2809,410,78,40,1,20180113,7,3956,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,6,2,131.1699982,285.1400146,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Roary,19468,Wheeler,,Corporate,PR,1426 Fallen Line,725,2,Fitness,18.26163292,-66.03705597,Pacific Asia,Mandurah,Australia,19468,2018-01-13 04:03:00,75915,1360,42.61000061,0.129999995,179230,327.75,0.460000008,1,327.75,285.1400146,131.1699982,Oceania,Australia Occidental,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-19 04:03:00,Second Class,2808,1632,78,40,1,20180113,6,3955,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,5,2,90.54000092,278.5899963,Late delivery,1,73,Sporting Goods,Wilkes Barre,EE. UU.,,Quail,19467,Ashley,,Consumer,PA,9814 Emerald Prairie Limits,18702,2,Fitness,41.23545456,-75.86985779,Pacific Asia,Mandurah,Australia,19467,2018-01-13 03:42:00,75914,1360,49.15999985,0.150000006,179229,327.75,0.330000013,1,327.75,278.5899963,90.54000092,Oceania,Australia Occidental,PENDING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-18 03:42:00,Second Class,2807,1633,78,40,1,20180113,6,3954,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
PAYMENT,4,4,82.58999634,275.3099976,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,,Hannah,19466,Velez,,Corporate,PR,8271 Tawny Elk Abbey,725,2,Fitness,18.27022362,-66.0370636,Pacific Asia,Guilin,China,19466,2018-01-13 03:21:00,75913,1360,52.43999863,0.159999996,179228,327.75,0.300000012,1,327.75,275.3099976,82.58999634,Eastern Asia,Guangxi,PENDING_PAYMENT,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-17 03:21:00,Standard Class,2806,1025,78,40,1,20180113,12,3953,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,3,4,-17.13999939,272.0299988,Advance shipping,0,73,Sporting Goods,Roseville,EE. UU.,,Evelyn,19465,Kelly,,Corporate,MI,3931 Gentle Ramp,48066,2,Fitness,41.86886215,-84.57365418,Pacific Asia,Guilin,China,19465,2018-01-13 03:00:00,75912,1360,55.72000122,0.170000002,179227,327.75,-0.059999999,1,327.75,272.0299988,-17.13999939,Eastern Asia,Guangxi,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-16 03:00:00,Standard Class,2805,1028,78,40,1,20180113,9,3952,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,2,4,23.64999962,268.7600098,Advance shipping,0,73,Sporting Goods,Bellflower,EE. UU.,,Jael,19464,Mcfarland,,Consumer,CA,9699 Honey Rise,90706,2,Fitness,33.90942383,-118.1253586,Pacific Asia,Guilin,China,19464,2018-01-13 02:39:00,75911,1360,59.0,0.180000007,179226,327.75,0.090000004,1,327.75,268.7600098,23.64999962,Eastern Asia,Guangxi,PROCESSING,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 02:39:00,Standard Class,2804,1027,78,40,1,20180113,9,3951,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,6,4,73.41999817,262.2000122,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Teagan,19463,Romero,,Consumer,PR,1564 Rocky Terrace,725,2,Fitness,18.27526093,-66.0370636,Pacific Asia,Guilin,China,19463,2018-01-13 02:18:00,75910,1360,65.55000305,0.200000003,179225,327.75,0.280000001,1,327.75,262.2000122,73.41999817,Eastern Asia,Guangxi,ON_HOLD,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-19 02:18:00,Standard Class,2803,1026,78,40,1,20180113,10,3950,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,5,4,113.0699997,245.8099976,Late delivery,1,73,Sporting Goods,Wheaton,EE. UU.,,Joan,19462,Wilder,,Consumer,IL,4294 High Passage,60187,2,Fitness,41.86544037,-88.10990143,Pacific Asia,Delhi,India,19462,2018-01-13 01:57:00,75909,1360,81.94000244,0.25,179224,327.75,0.460000008,1,327.75,245.8099976,113.0699997,South Asia,Delhi,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-18 01:57:00,Standard Class,2802,724,78,40,1,20180113,10,3949,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
PAYMENT,4,4,24.57999992,327.75,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,,Basia,19461,Watts,,Consumer,PR,5918 Golden Beacon Freeway,725,2,Fitness,18.28713608,-66.03705597,Pacific Asia,Delhi,India,19461,2018-01-13 01:36:00,75908,1360,0.0,0.0,179223,327.75,0.079999998,1,327.75,327.75,24.57999992,South Asia,Delhi,PENDING_PAYMENT,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-17 01:36:00,Standard Class,2801,722,78,40,1,20180113,12,3948,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,2,1,-97.33999634,324.4700012,Late delivery,1,73,Sporting Goods,Detroit,EE. UU.,,Dominique,19460,Rogers,,Consumer,MI,3915 Broad Lookout,48238,2,Fitness,42.39110184,-83.13121796,Pacific Asia,Suzhou,China,19460,2018-01-13 01:15:00,75907,1360,3.279999971,0.01,179222,327.75,-0.300000012,1,327.75,324.4700012,-97.33999634,Eastern Asia,Gansu,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 01:15:00,First Class,2800,2692,78,40,1,20180113,1,3947,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
PAYMENT,2,1,-425.5799866,321.2000122,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,,Ainsley,19459,Mathis,,Consumer,TX,7190 Silver Horse Glade,75220,2,Fitness,32.86539459,-96.86858368,Pacific Asia,Suzhou,China,19459,2018-01-13 00:54:00,75906,1360,6.559999943,0.02,179221,327.75,-1.330000043,1,327.75,321.2000122,-425.5799866,Eastern Asia,Gansu,PENDING_PAYMENT,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 00:54:00,First Class,2799,2690,78,40,1,20180113,1,3946,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
PAYMENT,2,1,152.6000061,317.9200134,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Aurora,19458,Sharp,,Corporate,PR,830 Broad Beacon Maze,725,2,Fitness,18.24074173,-66.03705597,Pacific Asia,Singapur,Singapur,19458,2018-01-13 00:33:00,75905,1360,9.829999924,0.029999999,179220,327.75,0.479999989,1,327.75,317.9200134,152.6000061,Southeast Asia,Singapur,PENDING_PAYMENT,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 00:33:00,First Class,2798,2599,78,40,1,20180113,1,3945,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
CASH,2,1,151.0299988,314.6400146,Late delivery,1,73,Sporting Goods,Carlisle,EE. UU.,,Libby,19457,Bray,,Corporate,PA,6127 Dewy Goose Downs,17013,2,Fitness,40.03171921,-76.87709808,Pacific Asia,Hubli,India,19457,2018-01-13 00:12:00,75904,1360,13.10999966,0.039999999,179219,327.75,0.479999989,1,327.75,314.6400146,151.0299988,South Asia,Karnataka,CLOSED,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-15 00:12:00,First Class,2797,1170,78,40,1,20180113,1,3944,Saturday,1,1,2018,True,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,2,1,62.27000046,311.3599854,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,,Amy,19456,Lindsay,,Corporate,TX,1188 Old Abbey,75228,2,Fitness,32.81010819,-96.68649292,Pacific Asia,Wollongong,Australia,19456,2018-01-12 23:51:00,75903,1360,16.38999939,0.050000001,179218,327.75,0.200000003,1,327.75,311.3599854,62.27000046,Oceania,Nueva Gales del Sur,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-14 23:51:00,First Class,2796,3081,78,40,1,20180112,1,3943,Friday,1,1,2018,False,100,2025-12-03 17:23:07,DataCoSupplyChain
DEBIT,1,0,35.0,309.7200012,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,,Ivory,19455,Parks,,Consumer,PR,7004 Hazy Lake Townline,725,2,Fitness,18.28604889,-66.03705597,Pacific Asia,Wollongong,Australia,19455,2018-01-12 23:30:00,75902,1360,18.03000069,0.059999999,179217,327.75,0.109999999,1,327.75,309.7200012,35.0,Oceania,Nueva Gales del Sur,COMPLETE,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-13 11:30:00,Same Day,2795,3078,78,40,1,20180112,3,3942,Friday,1,1,2018,False,100,2025-12-03 17:23:07,DataCoSupplyChain
TRANSFER,1,0,57.29999924,304.8099976,Shipping canceled,0,73,Sporting Goods,Newark,EE. UU.,,Karina,19454,Prince,,Consumer,DE,2556 Umber Autoroute,19702,2,Fitness,39.68188095,-75.64421082,Pacific Asia,Wollongong,Australia,19454,2018-01-12 23:09:00,75901,1360,22.94000053,0.07,179216,327.75,0.189999998,1,327.75,304.8099976,57.29999924,Oceania,Nueva Gales del Sur,CANCELED,,1360,73,http://images.acmesports.sports/Smart+watch,Smart watch,327.75,0,2018-01-13 11:09:00,Same Day,2794,3084,78,40,1,20180112,4,3941,Friday,1,1,2018,False,100,2025-12-03 17:23:07,DataCoSupplyChain
