id,employee_id,customer_id,order_date,shipped_date,shipper_id,ship_name,ship_address,ship_city,ship_state_province,ship_zip_postal_code,ship_country_region,shipping_fee,taxes,payment_type,paid_date,notes,tax_rate,tax_status_id,status_id,order_year,order_month,order_quarter,order_day_of_week,order_day_name,delivery_days,payment_type_encoded,ship_city_encoded,ship_state_province_encoded,order_day_name_encoded,payment_Cash,payment_Check,payment_Credit Card,payment_Wire Transfer,shipping_fee_standardized,taxes_standardized,tax_rate_standardized,shipping_fee_normalized,taxes_normalized,tax_rate_normalized,total_order_cost,tax_to_shipping_ratio,is_weekend,shipping_category,season
15,7,3,2024-03-06,2024-03-13,9,Ship Name 15,7667 Delivery Street,Houston,NY,52052,USA,5.59,95.52,Wire Transfer,2024-03-10,Order 15 special instructions,0.0805,3,4,2024,3,1,2,Wednesday,7,3,1,3,6,False,False,False,True,-1.9160112741911133,1.6513898195079453,0.381498751873207,0.0,0.9742663162505473,0.6129032258064517,101.11,17.087656529211312,0,Low,Spring
16,9,1,2025-02-05,2025-02-12,10,Ship Name 16,3590 Delivery Street,Phoenix,IL,79806,USA,23.84,72.89,Credit Card,2025-02-10,Order 16 special instructions,0.0536,7,7,2025,2,1,2,Wednesday,7,2,4,2,6,False,False,True,False,-0.2467197611590097,0.8209180764106303,-1.1365953938944326,0.43754495324862147,0.7264564169951817,0.07056451612903225,96.73,3.0574664429401954,0,Medium,Winter
17,9,4,2025-02-18,2025-02-24,9,Ship Name 17,7060 Delivery Street,New York,CA,92574,USA,7.76,42.18,Wire Transfer,2025-02-19,Order 17 special instructions,0.0827,4,7,2025,2,1,1,Tuesday,6,3,3,1,5,False,False,False,True,-1.7175256531894878,-0.306072079599911,0.505655150411824,0.05202589307120595,0.3901664476565922,0.657258064516129,49.94,5.435567010239232,0,Low,Winter
18,5,9,2025-12-04,2025-12-09,8,Ship Name 18,4395 Delivery Street,Chicago,TX,26374,USA,27.51,9.59,Wire Transfer,2025-12-08,Order 18 special instructions,0.0554,7,1,2025,12,4,3,Thursday,5,3,0,4,4,False,False,False,True,0.08896790200963815,-1.50205414356551,-1.0350128859992005,0.5255334452169744,0.033289531318440646,0.10685483870967749,37.1,0.3486005089045852,0,Medium,Winter
19,5,9,2025-06-13,2025-06-19,9,Ship Name 19,7026 Delivery Street,Chicago,AZ,28450,USA,37.73,19.66,Wire Transfer,2025-06-15,Order 19 special instructions,0.0935,3,0,2025,6,2,4,Friday,6,3,0,0,0,False,False,False,True,1.0237711493076158,-1.1325070621253877,1.1151501977832186,0.7705586190362024,0.1435611038107753,0.875,57.39,0.5210707659673441,0,High,Summer
20,8,8,2025-08-21,2025-08-26,7,Ship Name 20,4065 Delivery Street,Phoenix,TX,51040,USA,31.62,54.82,Check,2025-08-22,Order 20 special instructions,0.0634,3,0,2025,8,3,3,Thursday,5,1,4,4,4,False,True,False,False,0.464901497547279,0.15778840792771,-0.583535073131501,0.6240709661951571,0.5285808147174769,0.2681451612903225,86.44,1.7337128399692165,0,High,Summer
21,10,15,2025-10-17,2025-10-23,6,Ship Name 21,7298 Delivery Street,Houston,AZ,60830,USA,25.84,77.65,Credit Card,2025-10-18,Order 21 special instructions,0.0554,5,0,2025,10,4,4,Friday,6,2,1,0,0,False,False,True,False,-0.0637837049363134,0.9955997157010953,-1.0350128859992005,0.48549508511148415,0.778580814717477,0.10685483870967749,103.49000000000001,3.0050309597406932,0,Medium,Fall
22,7,5,2024-05-15,2024-05-16,2,Ship Name 22,4608 Delivery Street,Chicago,AZ,78527,USA,37.5,8.28,Cash,2024-05-17,Order 22 special instructions,0.0997,2,0,2024,5,2,2,Wednesday,1,0,0,0,6,True,False,False,False,1.002733502842006,-1.550128292193768,1.4650455027556855,0.7650443538719733,0.018944371441086294,0.9999999999999998,45.78,0.22079999999941116,0,High,Spring
23,2,9,2025-06-18,2025-06-24,3,Ship Name 23,9331 Delivery Street,Houston,IL,91961,USA,9.12,68.06,Cash,2025-06-19,Order 23 special instructions,0.0715,6,9,2025,6,2,2,Wednesday,6,0,1,2,6,True,False,False,False,-1.5931291349580543,0.643667589483541,-0.1264137876029554,0.08463198273795253,0.6735654840122645,0.43145161290322576,77.18,7.462719298163787,0,Low,Summer
24,9,5,2024-03-30,2024-03-31,1,Ship Name 24,8328 Delivery Street,Los Angeles,CA,35994,USA,38.36,42.86,Wire Transfer,2024-04-01,Order 24 special instructions,0.0918,2,3,2024,3,1,5,Saturday,1,3,2,1,2,False,False,False,True,1.0813960070177653,-0.28111755970127317,1.019211162548833,0.7856629105730042,0.3976127901883486,0.840725806451613,81.22,1.1173096975987558,1,High,Spring
25,1,4,2024-07-16,2024-07-20,9,Ship Name 25,1906 Delivery Street,Chicago,IL,43420,USA,29.0,33.88,Wire Transfer,2024-07-19,Order 25 special instructions,0.0793,0,4,2024,7,3,1,Tuesday,4,3,0,2,5,False,False,False,True,0.22525526389554676,-0.610664013656814,0.3137770799430517,0.5612562934548071,0.2992772667542707,0.5887096774193548,62.88,1.1682758620649372,0,Medium,Summer
26,6,10,2025-02-18,2025-02-22,9,Ship Name 26,7140 Delivery Street,Houston,AZ,61343,USA,32.21,97.87,Wire Transfer,2025-02-20,Order 26 special instructions,0.0996,5,0,2025,2,1,1,Tuesday,4,3,1,0,5,False,False,False,True,0.5188676341329744,1.7376297044517675,1.4594020300948392,0.6382162550947017,0.9999999999999999,0.9979838709677418,130.08,3.0384973610585577,0,High,Winter
27,3,15,2025-02-06,2025-02-08,7,Ship Name 27,9709 Delivery Street,New York,AZ,18882,USA,47.3,52.26,Cash,2025-02-10,Order 27 special instructions,0.0511,1,7,2025,2,1,3,Thursday,2,0,3,0,4,True,False,False,False,1.8991201783332177,0.06384198007401455,-1.277682210415589,1.0,0.5005475251861584,0.02016129032258074,99.56,1.104862579278848,0,High,Winter
28,8,5,2025-10-25,2025-10-29,1,Ship Name 28,7182 Delivery Street,Phoenix,NY,10015,USA,24.73,46.65,Check,2025-10-27,Order 28 special instructions,0.0788,8,3,2025,10,4,5,Saturday,4,1,4,3,2,False,True,False,False,-0.1653132161399098,-0.1420328090897476,0.28555971663882046,0.4588827619275953,0.4391151992991677,0.5786290322580645,71.38,1.8863728265188582,1,Medium,Fall
29,8,1,2025-12-21,2025-12-22,5,Ship Name 29,4906 Delivery Street,Los Angeles,NY,85263,USA,31.35,49.77,Check,2025-12-22,Order 29 special instructions,0.0924,4,8,2025,12,4,6,Sunday,1,1,2,3,3,False,True,False,False,0.440205129957215,-0.02753560014305618,1.0530719985139096,0.6175976983936706,0.4732807709154621,0.8528225806451613,81.12,1.5875598086073763,1,High,Winter
30,2,3,2024-04-21,2024-04-22,3,Ship Name 30,3646 Delivery Street,Houston,TX,34617,USA,32.03,75.52,Credit Card,2024-04-23,Order 30 special instructions,0.0502,9,0,2024,4,2,6,Sunday,1,2,1,4,3,False,False,True,False,0.5024033890729317,0.91743335190095,-1.328473464363205,0.633900743227044,0.755256241787122,0.002016129032258007,107.55,2.3577895722686297,1,High,Spring
